tid,t_url,t_heading,num_replies,num_views,starter_uid,starter_namelast_post_date
2147553329,/discussion.aspx?g=posts&t=2147553329,ALZConnected Moderator’s Guidelines for Participation,0,6500,10052,['ALZConnected Moderator'],"Friday, July 24, 2020 2:41 PM "
2147553335,/discussion.aspx?g=posts&t=2147553335,A Message from the Alzheimer’s Association during Covid-19,0,6064,10052,['ALZConnected Moderator'],"Wednesday, July 22, 2020 10:55 AM "
2147555833,/discussion.aspx?g=posts&t=2147555833,Trying to fit cleaning around people who are always around,0,1,2147728690,['KawKaw'],"Thursday, February 25, 2021 8:05 PM "
2147555832,/discussion.aspx?g=posts&t=2147555832,FIL finally permanently in my household,0,5,2147728690,['KawKaw'],"Thursday, February 25, 2021 7:49 PM "
2147555831,/discussion.aspx?g=posts&t=2147555831,Exhausted and angry--venting,1,48,2147764402,['OnlyChild1970'],"Thursday, February 25, 2021 7:27 PM "
2147555824,/discussion.aspx?g=posts&t=2147555824,Home(3),10,193,2147756902,['Tross760'],"Thursday, February 25, 2021 7:19 PM "
2147555828,/discussion.aspx?g=posts&t=2147555828,Hawaii - lack of medical input available,2,71,2147760547,['Alansad'],"Thursday, February 25, 2021 5:45 PM "
2147546443,/discussion.aspx?g=posts&t=2147546443,Mom Threw a Tantrum in Public,16,2399,2147703094,['FirstKid'],"Thursday, February 25, 2021 5:32 PM "
2147548183,/discussion.aspx?g=posts&t=2147548183,what frustrates you most?,34,4045,2147709307,['only_girl'],"Thursday, February 25, 2021 5:26 PM "
2147550353,/discussion.aspx?g=posts&t=2147550353,House is a mess and unsafe,10,1242,2147731249,['thmscheng'],"Thursday, February 25, 2021 5:16 PM "
2147555799,/discussion.aspx?g=posts&t=2147555799,Help and advice,9,329,2147764181,['PossumFan'],"Thursday, February 25, 2021 4:56 PM "
2147555823,/discussion.aspx?g=posts&t=2147555823,Mother-in-law says she is just going to die if she has to stay in nursing homr.,4,165,2147599472,['September Remember'],"Thursday, February 25, 2021 4:16 PM "
2147555827,/discussion.aspx?g=posts&t=2147555827,Mirtazapine - does the grogginess wear off?,2,69,2147759753,['Battes'],"Thursday, February 25, 2021 1:52 PM "
2147554210,/discussion.aspx?g=posts&t=2147554210,When to take over?,13,1171,2147626791,['Amie'],"Thursday, February 25, 2021 1:32 PM "
2147555755,/discussion.aspx?g=posts&t=2147555755,My husbands doctor has prescribed Namenda - anyone else used this in late stage?,6,409,2147706359,['Jamaicabound'],"Thursday, February 25, 2021 10:35 AM "
2147555825,/discussion.aspx?g=posts&t=2147555825,"Moving LO to a State or County Facility in Macomb County, MI",1,57,2147764352,['Pam654321'],"Thursday, February 25, 2021 10:25 AM "
2147555768,/discussion.aspx?g=posts&t=2147555768,Bowel incontenance,11,520,2147750647,['Jenleepft'],"Thursday, February 25, 2021 6:59 AM "
