fid,tid,t_url,t_heading,num_replies,num_views,starter_uid,starter_namelast_post_date
2147806999,2147553325,/discussion.aspx?g=posts&t=2147553325,ALZConnected Moderator’s Guidelines for Participation,0,2318,10052,ALZConnected Moderator,"Friday, July 24, 2020 2:42 PM "
2147806999,2147553330,/discussion.aspx?g=posts&t=2147553330,A Message from the Alzheimer’s Association during Covid-19,0,3175,10052,ALZConnected Moderator,"Tuesday, July 21, 2020 6:10 PM "
2147806999,2147510044,/discussion.aspx?g=posts&t=2147510044,Welcome to the LGBT Community and Allies Message Board,0,16619,2147543847,Marshawn Brown,"Tuesday, October 14, 2014 12:10 PM "
2147806999,2147555573,/discussion.aspx?g=posts&t=2147555573,Connecting with other Queer Nonbinary caregivers,1,151,2147762458,Malster,"Thursday, February 4, 2021 1:53 PM "
2147806999,2147554871,/discussion.aspx?g=posts&t=2147554871,Stuck choosing between wife or mom,2,1434,2147757791,JM111,"Monday, December 7, 2020 1:42 PM "
2147806999,2147554205,/discussion.aspx?g=posts&t=2147554205,Regret and Anticipatory Grief,2,2404,2147752912,remotegranddaughter,"Saturday, October 3, 2020 5:51 PM "
2147806999,2147549487,/discussion.aspx?g=posts&t=2147549487,When your same sex spouse has Alzheimer's,7,5869,2147725982,AlenaT,"Wednesday, September 23, 2020 7:30 PM "
2147806999,2147533813,/discussion.aspx?g=posts&t=2147533813,Losing my cool,13,13599,2147629560,1cahija,"Wednesday, September 23, 2020 7:20 PM "
2147806999,2147553864,/discussion.aspx?g=posts&t=2147553864,LGBTQ+ Caregivers Group Virtual Meetings on Fridays,0,1742,2147750430,MCMNew Mexico,"Monday, August 31, 2020 3:34 PM "
2147806999,2147551426,/discussion.aspx?g=posts&t=2147551426,"Mom forgot husband, asked about girlfriend",3,5249,2147652458,ADH77,"Tuesday, June 16, 2020 7:27 AM "
2147806999,2147552210,/discussion.aspx?g=posts&t=2147552210,Frequently Asked Questions During COVID-19: Association Blog Post,0,3469,10052,ALZConnected Moderator,"Monday, April 20, 2020 9:22 AM "
2147806999,2147552156,/discussion.aspx?g=posts&t=2147552156,AARP Coronavirus Tele-Town Hall is Today: Telehealth,0,3481,10052,ALZConnected Moderator,"Thursday, April 16, 2020 8:50 AM "
2147806999,2147552071,/discussion.aspx?g=posts&t=2147552071,AARP Coronavirus Tele-Town Hall (Thursdays),0,3506,10052,ALZConnected Moderator,"Friday, April 10, 2020 9:08 AM "
2147806999,2147552056,/discussion.aspx?g=posts&t=2147552056,MedicAlert LIVE Healthy Hour_April 15,0,3368,10052,ALZConnected Moderator,"Thursday, April 9, 2020 1:03 PM "
2147806999,2147552035,/discussion.aspx?g=posts&t=2147552035,Activities at Home: Part 2,0,3400,10052,ALZConnected Moderator,"Wednesday, April 8, 2020 11:41 AM "
2147806999,2147552012,/discussion.aspx?g=posts&t=2147552012,Activities at Home: Part 1,0,3248,10052,ALZConnected Moderator,"Tuesday, April 7, 2020 9:18 AM "
2147806999,2147551987,/discussion.aspx?g=posts&t=2147551987,Covid-19 Resources,0,3207,10052,ALZConnected Moderator,"Monday, April 6, 2020 5:13 PM "
2147806999,2147551943,/discussion.aspx?g=posts&t=2147551943,Easy Stress-Busting Strategy #3: Guided Imagery,0,2770,10052,ALZConnected Moderator,"Friday, April 3, 2020 1:22 PM "
2147806999,2147551911,/discussion.aspx?g=posts&t=2147551911,AARP Coronavirus Tele-Town Hall,0,3213,10052,ALZConnected Moderator,"Thursday, April 2, 2020 5:06 PM "
2147806999,2147551880,/discussion.aspx?g=posts&t=2147551880,Easy Stress-Busting Strategy #2,0,2679,10052,ALZConnected Moderator,"Wednesday, April 1, 2020 2:08 PM "
2147806999,2147551859,/discussion.aspx?g=posts&t=2147551859,ALZHEIMER'S ASSOCIATION: Easy Stress-Busting Strategy #1,0,3300,10052,ALZConnected Moderator,"Wednesday, April 1, 2020 8:57 AM "
2147806999,2147551807,/discussion.aspx?g=posts&t=2147551807,ALZHEIMER'S ASSOCIATION: 6 Tips to Relieve Stress during the Coronavirus crisis,0,3134,10052,ALZConnected Moderator,"Monday, March 30, 2020 9:47 AM "
2147806999,2147551746,/discussion.aspx?g=posts&t=2147551746,ALZHEIMER'S ASSOCIATION: Tips for Covid-19 & Residential Care Communities,0,2780,10052,ALZConnected Moderator,"Friday, March 27, 2020 7:55 AM "
2147806999,2147551722,/discussion.aspx?g=posts&t=2147551722,ALZHEIMER'S ASSOCIATION: AARP Coronavirus Tele-Town Hall is Today,0,2595,10052,ALZConnected Moderator,"Thursday, March 26, 2020 11:43 AM "
2147806999,2147551694,/discussion.aspx?g=posts&t=2147551694,Alzheimer's Association: Covid-19 & Tips for when you are providing care at home,0,2503,10052,ALZConnected Moderator,"Wednesday, March 25, 2020 5:36 PM "
2147806999,2147551649,/discussion.aspx?g=posts&t=2147551649,Information you can trust and a safe place to connect,0,2138,10052,ALZConnected Moderator,"Tuesday, March 24, 2020 1:51 PM "
2147806999,2147551283,/discussion.aspx?g=posts&t=2147551283,New here.,5,2245,2147737720,A Cajun in TX,"Sunday, March 8, 2020 9:04 AM "
