fid,tid,t_url,t_heading,num_replies,num_views,starter_uid,starter_namelast_post_date
461,2147553392,/discussion.aspx?g=posts&t=2147553392,ALZConnected Moderator’s Guidelines for Participation,0,2659,10052,ALZConnected Moderator,"Friday, July 24, 2020 2:44 PM "
461,2147555766,/discussion.aspx?g=posts&t=2147555766,Mom said she is done eating,9,188,2147756902,Tross760,"Thursday, February 25, 2021 11:03 AM "
461,2147554349,/discussion.aspx?g=posts&t=2147554349,I can hardly beleive it-mom's been gone a year!,11,1567,2147534216,TessC,"Sunday, February 21, 2021 9:51 PM "
461,2147555751,/discussion.aspx?g=posts&t=2147555751,I've Seen Her In The Sun,2,66,2147713639,Army_Vet60,"Saturday, February 20, 2021 12:42 PM "
461,2147555737,/discussion.aspx?g=posts&t=2147555737,ATTN: Crisp1653,3,137,2147713639,Army_Vet60,"Friday, February 19, 2021 5:10 PM "
461,2147555678,/discussion.aspx?g=posts&t=2147555678,Light After the End,4,245,2147713639,Army_Vet60,"Thursday, February 18, 2021 9:05 PM "
461,2147555713,/discussion.aspx?g=posts&t=2147555713,Exactly 2 Months Ago,6,128,2147661702,ChrisBme,"Wednesday, February 17, 2021 10:19 PM "
461,2147555700,/discussion.aspx?g=posts&t=2147555700,A article I found,2,130,2147737400,Bholmes,"Tuesday, February 16, 2021 8:53 PM "
461,2147555550,/discussion.aspx?g=posts&t=2147555550,Hospice accuracy,13,590,2147756902,Tross760,"Tuesday, February 16, 2021 9:26 AM "
461,2147545430,/discussion.aspx?g=posts&t=2147545430,Grief(2),7,2941,2147484074,jfkoc,"Sunday, February 7, 2021 6:46 AM "
461,2147554818,/discussion.aspx?g=posts&t=2147554818,A month goes by,11,1650,2147737400,Bholmes,"Tuesday, February 2, 2021 5:08 PM "
461,2147548489,/discussion.aspx?g=posts&t=2147548489,Mom died on July 24,4,2309,2147640622,TinaFinn7,"Saturday, January 30, 2021 1:55 AM "
461,2147553983,/discussion.aspx?g=posts&t=2147553983,Everything I Own,5,2236,2147713639,Army_Vet60,"Wednesday, January 27, 2021 11:36 AM "
461,2147545149,/discussion.aspx?g=posts&t=2147545149,Quote about grief.,4,2796,2147507354,A losing hand.,"Tuesday, January 26, 2021 3:59 AM "
461,2147550860,/discussion.aspx?g=posts&t=2147550860,Brenda...3 weeks later,15,4386,2147636972,Mike&BrendaTX,"Saturday, January 23, 2021 12:48 PM "
461,2147555288,/discussion.aspx?g=posts&t=2147555288,Caregiver Guilt,4,658,2147742739,Irma k,"Saturday, January 23, 2021 12:31 PM "
461,2147533829,/discussion.aspx?g=posts&t=2147533829,Delayed burial of ashes,10,6788,2147484378,bela,"Friday, January 22, 2021 11:16 AM "
461,2147554673,/discussion.aspx?g=posts&t=2147554673,Overwhelming guilt- not shared with anyone,11,2034,2147756297,Wolfpacmom,"Wednesday, January 20, 2021 12:31 AM "
461,2147555266,/discussion.aspx?g=posts&t=2147555266,2 months on,2,685,2147760182,aeknott15,"Sunday, January 17, 2021 8:55 PM "
461,2147531187,/discussion.aspx?g=posts&t=2147531187,I feel I Have no Purpose in Life Anymore,21,8802,2147564573,Nadine60,"Wednesday, January 13, 2021 10:52 AM "
461,2147507883,/discussion.aspx?g=posts&t=2147507883,A Bible Verse for Those who Grieve for a Departed Loved One,17,12290,2147484000,LarryD,"Tuesday, January 12, 2021 5:23 AM "
461,2147532280,/discussion.aspx?g=posts&t=2147532280,Interesting article on grieving the first two years,9,7355,2147544061,Veterans kid,"Tuesday, January 12, 2021 5:22 AM "
461,2147555309,/discussion.aspx?g=posts&t=2147555309,Lost(1),5,553,2147661702,ChrisBme,"Monday, January 11, 2021 4:08 PM "
461,2147555170,/discussion.aspx?g=posts&t=2147555170,"closure, at last",3,749,2147696376,bunifoot,"Thursday, January 7, 2021 10:51 PM "
461,2147545933,/discussion.aspx?g=posts&t=2147545933,A year now,7,2654,2147639973,daughterwhoworks,"Friday, January 1, 2021 11:54 PM "
461,2147554793,/discussion.aspx?g=posts&t=2147554793,Her Dying Day,5,1468,2147713639,Army_Vet60,"Thursday, December 31, 2020 9:42 AM "
461,2147554412,/discussion.aspx?g=posts&t=2147554412,"Saw a flower, thought of my mother",5,1449,2147728690,KawKaw,"Sunday, November 29, 2020 4:03 PM "
461,2147553945,/discussion.aspx?g=posts&t=2147553945,Back in the so called real world,5,2245,2147595758,YoungerDaughter,"Friday, November 13, 2020 9:01 PM "
461,2147554634,/discussion.aspx?g=posts&t=2147554634,I Miss My Wife So Much,4,1231,2147737400,Bholmes,"Thursday, November 12, 2020 11:03 PM "
461,2147554384,/discussion.aspx?g=posts&t=2147554384,Current medical student who lost my grandmother to Alzheimers.,1,1284,2147750593,chalverson,"Sunday, October 18, 2020 10:11 PM "
461,2147554308,/discussion.aspx?g=posts&t=2147554308,Being Gentle with Ourselves During Times of Grief,1,1339,2147484387,George K,"Monday, October 12, 2020 3:55 PM "
461,2147554300,/discussion.aspx?g=posts&t=2147554300,Interment,2,1276,2147733103,biker013,"Sunday, October 11, 2020 10:25 PM "
461,2147554043,/discussion.aspx?g=posts&t=2147554043,Seven Years,3,1588,2147751654,Missmanta,"Monday, September 28, 2020 9:02 AM "
461,2147554070,/discussion.aspx?g=posts&t=2147554070,really sad,2,1557,2147742650,trouble77,"Wednesday, September 23, 2020 12:38 PM "
461,2147553832,/discussion.aspx?g=posts&t=2147553832,heartbroken,4,1694,2147742650,trouble77,"Friday, September 18, 2020 6:54 PM "
461,2147553311,/discussion.aspx?g=posts&t=2147553311,Beautiful words....,3,2471,2147674222,Skittles412,"Wednesday, September 9, 2020 7:07 AM "
