fid,tid,t_url,t_heading,num_replies,num_views,starter_uid,starter_namelast_post_date
2147485438,2147553328,/discussion.aspx?g=posts&t=2147553328,ALZConnected Moderator’s Guidelines for Participation,0,4098,10052,ALZConnected Moderator,"Friday, July 24, 2020 2:41 PM "
2147485438,2147553333,/discussion.aspx?g=posts&t=2147553333,A Message from the Alzheimer’s Association during Covid-19,0,5238,10052,ALZConnected Moderator,"Tuesday, July 21, 2020 6:12 PM "
2147485438,2147555830,/discussion.aspx?g=posts&t=2147555830,"VENT: I am screaming on the inside, very loudly",4,217,2147696050,LadyTexan,"Friday, February 26, 2021 2:25 AM "
2147485438,2147555836,/discussion.aspx?g=posts&t=2147555836,He is gone,1,11,2147708210,jdmg1,"Friday, February 26, 2021 2:18 AM "
2147485438,2147555797,/discussion.aspx?g=posts&t=2147555797,Just need to talk to my friends  (141),44,1271,2147484453,Lorita,"Friday, February 26, 2021 2:02 AM "
2147485438,2147555834,/discussion.aspx?g=posts&t=2147555834,Question for the group,2,107,2147701033,Ricsgirl,"Thursday, February 25, 2021 10:25 PM "
2147485438,2147555811,/discussion.aspx?g=posts&t=2147555811,Something to be grateful for,5,279,2147714257,tcrosse,"Thursday, February 25, 2021 9:51 PM "
2147485438,2147555552,/discussion.aspx?g=posts&t=2147555552,It's another day,14,1126,2147609725,nancyj194,"Thursday, February 25, 2021 4:43 PM "
2147485438,2147555826,/discussion.aspx?g=posts&t=2147555826,Are you considering placement - ever?,4,236,2147669054,Ed1937,"Thursday, February 25, 2021 1:16 PM "
2147485438,2147551925,/discussion.aspx?g=posts&t=2147551925,Quarantine Laughs.,154,18014,2147507354,A losing hand.,"Thursday, February 25, 2021 11:38 AM "
2147485438,2147515210,/discussion.aspx?g=posts&t=2147515210,The glass is half full,25,3023,2147531164,Crushed,"Thursday, February 25, 2021 11:18 AM "
2147485438,2147555375,/discussion.aspx?g=posts&t=2147555375,"You're gonna think I'm crazy, but where are we?",14,824,2147669054,Ed1937,"Thursday, February 25, 2021 9:12 AM "
2147485438,2147555812,/discussion.aspx?g=posts&t=2147555812,More about UTIs,4,147,2147669054,Ed1937,"Thursday, February 25, 2021 9:04 AM "
2147485438,2147555813,/discussion.aspx?g=posts&t=2147555813,Psych evaluation update,4,211,2147759783,DoninNC,"Thursday, February 25, 2021 8:42 AM "
2147485438,2147555805,/discussion.aspx?g=posts&t=2147555805,Need a Break(1),7,290,2147630003,ugomimi,"Thursday, February 25, 2021 7:18 AM "
2147485438,2147555801,/discussion.aspx?g=posts&t=2147555801,Wandering help?,3,218,2147588719,csgay,"Wednesday, February 24, 2021 3:39 PM "
2147485438,2147555808,/discussion.aspx?g=posts&t=2147555808,Covid deaths increase,3,215,2147531164,Crushed,"Wednesday, February 24, 2021 3:25 PM "
2147485438,2147555798,/discussion.aspx?g=posts&t=2147555798,Now I know,13,553,2147712523,Whyzit,"Wednesday, February 24, 2021 2:15 PM "
2147485438,2147555810,/discussion.aspx?g=posts&t=2147555810,was planing on retiring in July.,4,233,2147558063,ladypeewee,"Wednesday, February 24, 2021 1:03 PM "
