fid,tid,t_url,t_heading,num_replies,num_views,starter_uid,starter_namelast_post_date
155,2147552003,/discussion.aspx?g=posts&t=2147552003,Clarificaciones sobre información de covid-19 y comentarios politicos,0,5296,10052,ALZConnected Moderator,"Monday, April 6, 2020 5:36 PM "
155,2147551665,/discussion.aspx?g=posts&t=2147551665,ALERTA: Un mensaje de la Asociación de Alzheimer,0,3524,10052,ALZConnected Moderator,"Friday, March 27, 2020 3:36 PM "
155,2147490294,/discussion.aspx?g=posts&t=2147490294,Mensajes Eliminados y Los Hilos,0,15382,10052,ALZConnected Moderator,"Friday, July 20, 2012 3:03 PM "
155,2147488763,/discussion.aspx?g=posts&t=2147488763,No se que hacer....,15,17279,2147491040,nandoman,"Tuesday, January 26, 2021 9:02 PM "
155,2147554314,/discussion.aspx?g=posts&t=2147554314,Mi padre tiene ALZ,1,2071,2147753743,lmww0308,"Friday, October 16, 2020 9:11 AM "
155,2147552996,/discussion.aspx?g=posts&t=2147552996,Ayuda! Soy nueva Que debo hacer en estos casos?,2,4167,2147745401,Mary Roses,"Tuesday, September 22, 2020 3:45 PM "
155,2147551986,/discussion.aspx?g=posts&t=2147551986,Recursos para Covid-19,0,3921,10052,ALZConnected Moderator,"Monday, April 6, 2020 5:07 PM "
155,2147551948,/discussion.aspx?g=posts&t=2147551948,Estrategia Fácil #3 para romper el estrés: Imágenes guiadas,0,4024,10052,ALZConnected Moderator,"Friday, April 3, 2020 2:44 PM "
155,2147551908,/discussion.aspx?g=posts&t=2147551908,AARP Coronavirus Tele-Ayuntamiento es hoy,0,3908,10052,ALZConnected Moderator,"Thursday, April 2, 2020 4:59 PM "
155,2147551875,/discussion.aspx?g=posts&t=2147551875,Estrategia fácil #2 para romper el estrés,0,3309,10052,ALZConnected Moderator,"Wednesday, April 1, 2020 2:03 PM "
155,2147551864,/discussion.aspx?g=posts&t=2147551864,ASOCIACIÓN DE ALZHEIMER: Estrategia Fácil #1 para Romper el Estrés,0,3590,10052,ALZConnected Moderator,"Wednesday, April 1, 2020 9:02 AM "
155,2147551751,/discussion.aspx?g=posts&t=2147551751,ALZHEIMER'S ASSOCIATION: Consejos para Covid-19 & Comunidades de cuidado residencial,0,3914,10052,ALZConnected Moderator,"Friday, March 27, 2020 7:57 AM "
155,2147551734,/discussion.aspx?g=posts&t=2147551734,ALZHEIMER'S ASSOCIATION: COVID-19 Consejos cuando usted está proporcionando atención en casa,0,3476,10052,ALZConnected Moderator,"Thursday, March 26, 2020 4:30 PM "
155,2147551735,/discussion.aspx?g=posts&t=2147551735,ALZHEIMER'S ASSOCIATION: AARP Coronavirus Tele-Ayuntamiento es hoy,0,3382,10052,ALZConnected Moderator,"Thursday, March 26, 2020 4:29 PM "
155,2147551666,/discussion.aspx?g=posts&t=2147551666,Información precisa y confiable sobre Covid-19,0,3417,10052,ALZConnected Moderator,"Tuesday, March 24, 2020 2:06 PM "
155,2147542206,/discussion.aspx?g=posts&t=2147542206,Alucinaciones,6,8436,2147545276,valentex,"Saturday, January 11, 2020 10:03 PM "
155,2147548557,/discussion.aspx?g=posts&t=2147548557,Demecia vascular - madre,1,5444,2147719860,DiegoMendozaArgentin,"Sunday, November 3, 2019 3:18 PM "
155,2147547720,/discussion.aspx?g=posts&t=2147547720,“Comprensión del cuidado de la demencia” ya está disponible en español.,0,4687,2147714376,JGF,"Friday, June 28, 2019 3:10 PM "
155,2147547079,/discussion.aspx?g=posts&t=2147547079,Recursos en español en Atlanta,2,4491,2147710383,mbel,"Thursday, June 20, 2019 1:59 PM "
155,2147539829,/discussion.aspx?g=posts&t=2147539829,Diagnosticaron a mi padre a los 58 años y tengo muchas preocupaciones,4,8673,2147665543,Tatizita,"Wednesday, March 28, 2018 11:21 AM "
155,2147539154,/discussion.aspx?g=posts&t=2147539154,Ofrecemos un Grupo de Apoyo en Massachusetts,0,7118,2147661426,Enfermera,"Friday, February 2, 2018 10:23 AM "
155,2147535973,/discussion.aspx?g=posts&t=2147535973,cortometraje sobre el ALZHEIMER,1,11787,2147641900,ALOIS CARLA TORRES,"Sunday, August 20, 2017 9:18 PM "
155,2147534856,/discussion.aspx?g=posts&t=2147534856,Limitada information en Espanol,2,9995,2147635221,Now_Here,"Friday, August 4, 2017 11:08 AM "
155,2147534552,/discussion.aspx?g=posts&t=2147534552,Alguien me puede orientar por favor ?,1,9530,2147633673,TG-Ahava,"Wednesday, June 14, 2017 1:59 PM "
155,2147534092,/discussion.aspx?g=posts&t=2147534092,Busco a alguien que nos ayude cuidar a mi mamá,2,9884,2147614385,fliadiamanti,"Thursday, May 25, 2017 12:38 PM "
155,2147531681,/discussion.aspx?g=posts&t=2147531681,Los primeros pasos,2,11198,2147617442,axel,"Saturday, March 25, 2017 7:19 AM "
155,2147484136,/discussion.aspx?g=posts&t=2147484136,Hablando nuestro idioma,13,19228,2147484367,SadinHeart,"Saturday, May 28, 2016 2:11 AM "
155,2147526297,/discussion.aspx?g=posts&t=2147526297,Avance en Alzheimer's con Anavex A2-73,0,13149,2147583280,Anavexer,"Thursday, April 28, 2016 12:14 PM "
155,2147525131,/discussion.aspx?g=posts&t=2147525131,Mi abuela quiere estar tod el dia afuera y no duerme por las noches,1,14322,2147575898,reyescarolina,"Tuesday, March 1, 2016 2:57 PM "
155,2147524328,/discussion.aspx?g=posts&t=2147524328,obsesiones,1,13199,2147570706,Gucci,"Thursday, January 28, 2016 3:17 PM "
155,2147522743,/discussion.aspx?g=posts&t=2147522743,Como lograr que mi esposa se ba~ne?,6,14220,2147556298,Lemuguet,"Sunday, January 24, 2016 1:48 PM "
155,2147522038,/discussion.aspx?g=posts&t=2147522038,Sospechas que le roban las cosas.,2,13377,2147556298,Lemuguet,"Tuesday, January 19, 2016 5:48 PM "
155,2147523948,/discussion.aspx?g=posts&t=2147523948,Hola... Les pido ayuda y orientación.,1,13107,2147568603,chiri,"Wednesday, January 6, 2016 10:12 AM "
155,2147488296,/discussion.aspx?g=posts&t=2147488296,Alzheimers y nuestros padres,6,15619,2147484367,SadinHeart,"Wednesday, August 20, 2014 3:11 PM "
